time,open,high,low,close,volume
2026-07-08T00:00:00+00:00,7499.86,7508.25,7415.25,7462.79,296152
2026-07-08T12:00:00+00:00,7462.79,7485.5,7416.3,7477.6,328876
2026-07-09T00:00:00+00:00,7477.6,7514.04,7472.48,7508.65,165056
2026-07-09T12:00:00+00:00,7508.65,7542.8,7477.28,7527.97,152686
2026-07-10T00:00:00+00:00,7527.97,7552.29,7516.24,7549.54,97127
2026-07-10T12:00:00+00:00,7549.54,7575.04,7504.65,7573.57,151238
2026-07-12T12:00:00+00:00,7573.57,7573.57,7537.97,7541.49,55301
2026-07-13T00:00:00+00:00,7541.49,7559.04,7515.73,7556.79,133671
2026-07-13T12:00:00+00:00,7556.79,7559.79,7490.22,7498.6,269009
2026-07-14T00:00:00+00:00,7498.6,7563.99,7481.99,7533.91,223272
2026-07-14T12:00:00+00:00,7533.91,7555.46,7507.02,7555.08,215878
2026-07-15T00:00:00+00:00,7555.08,7577.01,7543.2,7565.51,100343
2026-07-15T12:00:00+00:00,7565.51,7579.46,7522.74,7566.44,242545
2026-07-16T00:00:00+00:00,7566.44,7583.71,7527.24,7539.75,141186
2026-07-16T12:00:00+00:00,7539.75,7566.76,7488.11,7490.74,224346
2026-07-17T00:00:00+00:00,7490.74,7493.99,7425.91,7466.43,187984
2026-07-17T12:00:00+00:00,7466.43,7491.68,7436.88,7448.97,287945
2026-07-19T12:00:00+00:00,7448.97,7473.82,7438.56,7451.08,64543
2026-07-20T00:00:00+00:00,7451.08,7508.37,7447.56,7476.88,170688
2026-07-20T12:00:00+00:00,7476.88,7490.38,7430.57,7450.18,239932
2026-07-21T00:00:00+00:00,7450.18,7487.61,7446.06,7473.87,108709
2026-07-21T12:00:00+00:00,7473.87,7511.38,7468.23,7499.23,116543
2026-07-22T00:00:00+00:00,7499.23,7508.29,7462.76,7508.29,128093
2026-07-22T12:00:00+00:00,7508.29,7521.29,7475.09,7497.83,141818
2026-07-23T00:00:00+00:00,7497.83,7500.84,7404.38,7415.14,182763
2026-07-23T12:00:00+00:00,7415.14,7428.89,7371.14,7410.42,323451
